old_name,new_name,brand,art_number,color,price,status,error
WhatsApp Image 2026-07-10 at 1.43.26 PM.jpeg,Walkaroo_WG5002_Blue_339.jpeg,Walkaroo,WG5002,Blue,339,ok,
WhatsApp Image 2026-07-10 at 1.43.27 PM (1).jpeg,Walkaroo_BX2624_Brown_304.jpeg,Walkaroo,BX2624,Brown,304,ok,
WhatsApp Image 2026-07-10 at 1.43.27 PM (2).jpeg,Walkaroo_Z304_Black_304.jpeg,Walkaroo,Z304,Black,304,ok,
WhatsApp Image 2026-07-10 at 1.43.27 PM (3).jpeg,Walkaroo_BASIX_WGB53416_Black_359.jpeg,Walkaroo_BASIX,WGB53416,Black,359,ok,
WhatsApp Image 2026-07-10 at 1.43.27 PM.jpeg,Walkaroo_WG5060_Tan_349.jpeg,Walkaroo,WG5060,Tan,349,ok,
WhatsApp Image 2026-07-10 at 1.43.28 PM (1).jpeg,Walkaroo_WG5713_FVALKARO_559.jpeg,Walkaroo,WG5713,FVALKARO,559,ok,
WhatsApp Image 2026-07-10 at 1.43.28 PM (2).jpeg,Walkaroo_W22108_Black_389.jpeg,Walkaroo,W22108,Black,389,ok,
WhatsApp Image 2026-07-10 at 1.43.28 PM (3).jpeg,Walkaroo_WG1331_Black_389.jpeg,Walkaroo,WG1331,Black,389,ok,
WhatsApp Image 2026-07-10 at 1.43.28 PM.jpeg,Walkaroo_BASIX_WGB53416_Brown_350.jpeg,Walkaroo_BASIX,WGB53416,Brown,350,ok,
WhatsApp Image 2026-07-10 at 1.43.29 PM (1).jpeg,Walkaroo_WL7200_PLUM_329.jpeg,Walkaroo,WL7200,PLUM,329,ok,
WhatsApp Image 2026-07-10 at 1.43.29 PM (2).jpeg,Walkaroo_WGR53203_Brown_399.jpeg,Walkaroo,WGR53203,Brown,399,ok,
WhatsApp Image 2026-07-10 at 1.43.29 PM (3).jpeg,Walkaroo_BX1665_Black_359.jpeg,Walkaroo,BX1665,Black,359,ok,
WhatsApp Image 2026-07-10 at 1.43.29 PM.jpeg,Walkaroo_W102_Black_299.jpeg,Walkaroo,W102,Black,299,ok,
WhatsApp Image 2026-07-10 at 1.43.30 PM (1).jpeg,Walkaroo_WG5060_Blue_349.jpeg,Walkaroo,WG5060,Blue,349,ok,
WhatsApp Image 2026-07-10 at 1.43.30 PM (2).jpeg,Walkaroo_BX2649_Brown_309.jpeg,Walkaroo,BX2649,Brown,309,ok,
WhatsApp Image 2026-07-10 at 1.43.30 PM (3).jpeg,Walkaroo_BX1256_Brown_249.jpeg,Walkaroo,BX1256,Brown,249,ok,
WhatsApp Image 2026-07-10 at 1.43.30 PM.jpeg,Walkaroo_BX1665_Brown_359.jpeg,Walkaroo,BX1665,Brown,359,ok,
WhatsApp Image 2026-07-10 at 1.43.31 PM (1).jpeg,Walkaroo_WG5309_Tan_479.jpeg,Walkaroo,WG5309,Tan,479,ok,
WhatsApp Image 2026-07-10 at 1.43.31 PM (2).jpeg,Walkaroo_WGH475_Brown_359.jpeg,Walkaroo,WGH475,Brown,359,ok,
WhatsApp Image 2026-07-10 at 1.43.31 PM (3).jpeg,Walkaroo_WG5060_Brown_379.jpeg,Walkaroo,WG5060,Brown,379,ok,
WhatsApp Image 2026-07-10 at 1.43.31 PM.jpeg,Walkaroo_BX1967_Blue_319.jpeg,Walkaroo,BX1967,Blue,319,ok,
WhatsApp Image 2026-07-10 at 1.43.32 PM (1).jpeg,Walkaroo_WLR74018_CUSUION_NY_HE_339.jpeg,Walkaroo,WLR74018,CUSUION_NY_HE,339,ok,
WhatsApp Image 2026-07-10 at 1.43.32 PM (2).jpeg,Walkaroo_WG3408_Black_359.jpeg,Walkaroo,WG3408,Black,359,ok,
WhatsApp Image 2026-07-10 at 1.43.32 PM (3).jpeg,Walkaroo_BX1967_Blue_319_2.jpeg,Walkaroo,BX1967,Blue,319,ok,
WhatsApp Image 2026-07-10 at 1.43.32 PM.jpeg,Walkaroo_WG5060_Tan_379.jpeg,Walkaroo,WG5060,Tan,379,ok,
WhatsApp Image 2026-07-10 at 1.43.33 PM (1).jpeg,Walkaroo_WG5340_Black_319.jpeg,Walkaroo,WG5340,Black,319,ok,
WhatsApp Image 2026-07-10 at 1.43.33 PM (2).jpeg,Walkaroo_WG5340_Blue_319.jpeg,Walkaroo,WG5340,Blue,319,ok,
WhatsApp Image 2026-07-10 at 1.43.33 PM (3).jpeg,Walkaroo_WF6258_Tan_839.jpeg,Walkaroo,WF6258,Tan,839,ok,
WhatsApp Image 2026-07-10 at 1.43.33 PM.jpeg,Walkaroo_BASIX_BX1952_Brown_429.jpeg,Walkaroo_BASIX,BX1952,Brown,429,ok,
WhatsApp Image 2026-07-10 at 1.43.34 PM (1).jpeg,Walkaroo_WF6270_Tan_759.jpeg,Walkaroo,WF6270,Tan,759,ok,
WhatsApp Image 2026-07-10 at 1.43.34 PM (2).jpeg,Walkaroo_WF6258_Black_839.jpeg,Walkaroo,WF6258,Black,839,ok,
WhatsApp Image 2026-07-10 at 1.43.34 PM (3).jpeg,Walkaroo_WF6255_Black_869.jpeg,Walkaroo,WF6255,Black,869,ok,
WhatsApp Image 2026-07-10 at 1.43.34 PM.jpeg,Walkaroo_WF6270_Tan_759_2.jpeg,Walkaroo,WF6270,Tan,759,ok,
WhatsApp Image 2026-07-10 at 1.43.35 PM (1).jpeg,Walkaroo_WF6258_Brown_839.jpeg,Walkaroo,WF6258,Brown,839,ok,
WhatsApp Image 2026-07-10 at 1.43.35 PM (2).jpeg,Walkaroo_Unknown_Tan_739_2.jpeg,Walkaroo,,Tan,739,ok,
WhatsApp Image 2026-07-10 at 1.43.35 PM (3).jpeg,Walkaroo_Unknown_Black_499.jpeg,Walkaroo,,Black,,ok,
WhatsApp Image 2026-07-10 at 1.43.35 PM.jpeg,Walkaroo_WF6255_Brown_869.jpeg,Walkaroo,WF6255,Brown,869,ok,
WhatsApp Image 2026-07-10 at 1.43.36 PM (1).jpeg,Walkaroo_WGR15002_EC_J_649.jpeg,Walkaroo,WGR15002,EC_J,649,ok,
WhatsApp Image 2026-07-10 at 1.43.36 PM (2).jpeg,Walkaroo_WGR15007_Grey_579.jpeg,Walkaroo,WGR15007,Grey,579,ok,
WhatsApp Image 2026-07-10 at 1.43.36 PM (3).jpeg,Walkaroo_Unknown_Tan_699.jpeg,Walkaroo,,Tan,699,ok,
WhatsApp Image 2026-07-10 at 1.43.36 PM (4).jpeg,Walkaroo_W1030_Blue_309.jpeg,Walkaroo,W1030,Blue,309,ok,
WhatsApp Image 2026-07-10 at 1.43.36 PM.jpeg,Walkaroo_WC4488_Blue_579.jpeg,Walkaroo,WC4488,Blue,579,ok,
WhatsApp Image 2026-07-10 at 1.43.37 PM (1).jpeg,Walkaroo_W1030_Tan_309.jpeg,Walkaroo,W1030,Tan,309,ok,
WhatsApp Image 2026-07-10 at 1.43.37 PM (2).jpeg,Walkaroo_WGR50073_Orange_249.jpeg,Walkaroo,WGR50073,Orange,249,ok,
WhatsApp Image 2026-07-10 at 1.43.37 PM (3).jpeg,Walkaroo_WGR50058_Black_349.jpeg,Walkaroo,WGR50058,Black,349,ok,
WhatsApp Image 2026-07-10 at 1.43.37 PM.jpeg,Walkaroo_W1030_Brown_309.jpeg,Walkaroo,W1030,Brown,309,ok,
WhatsApp Image 2026-07-10 at 1.43.38 PM (1).jpeg,Walkaroo_WG5002_Black_299.jpeg,Walkaroo,WG5002,Black,299,ok,
WhatsApp Image 2026-07-10 at 1.43.38 PM (2).jpeg,Walkaroo_WG5511_Blue_249.jpeg,Walkaroo,WG5511,Blue,249,ok,
WhatsApp Image 2026-07-10 at 1.43.38 PM (3).jpeg,Walkaroo_WG5511_Red_249.jpeg,Walkaroo,WG5511,Red,249,ok,
WhatsApp Image 2026-07-10 at 1.43.38 PM.jpeg,Walkaroo_WGR50058_Brown_349.jpeg,Walkaroo,WGR50058,Brown,349,ok,
WhatsApp Image 2026-07-10 at 1.43.39 PM (1).jpeg,Walkaroo_WGR50035_Tan_299.jpeg,Walkaroo,WGR50035,Tan,299,ok,
WhatsApp Image 2026-07-10 at 1.43.39 PM (2).jpeg,Walkaroo_BX1260_Blue_250.jpeg,Walkaroo,BX1260,Blue,250,ok,
WhatsApp Image 2026-07-10 at 1.43.39 PM (3).jpeg,Walkaroo_WGB53340_Blue_299.jpeg,Walkaroo,WGB53340,Blue,299,ok,
WhatsApp Image 2026-07-10 at 1.43.39 PM.jpeg,Walkaroo_BX1256_BASIC_224.jpeg,Walkaroo,BX1256,BASIC,224,ok,
WhatsApp Image 2026-07-10 at 1.43.40 PM (1).jpeg,Walkaroo_WGB53381_VALKAROO_269.jpeg,Walkaroo,WGB53381,VALKAROO,269,ok,
WhatsApp Image 2026-07-10 at 1.43.40 PM (2).jpeg,Walkaroo_Unknown_Green_339.jpeg,Walkaroo,,Green,339,ok,
WhatsApp Image 2026-07-10 at 1.43.40 PM.jpeg,Walkaroo_WGR50042_LORS_249.jpeg,Walkaroo,WGR50042,LORS,249,ok,
WhatsApp Image 2026-07-10 at 1.45.54 PM.jpeg,Walkaroo_WF6258_Brown_799_2.jpeg,Walkaroo,WF6258,Brown,799,ok,
